mode,beta,alpha,seed,trace_sigma_T,trace_sigma_0,kl_T,gini_T,entropy_T,drop_pct
closed_loop,0.005,0.0,2,8.039648946863133,29.386737406006404,2.7978027596145845,0.8112688888888895,4.321751333344063,72.64191381374683
closed_loop,0.005,0.3,0,1.5772084504187631,29.20199136634662,8.155871140205377,0.6510088551549666,4.949071659915505,94.59896953385038
closed_loop,0.005,0.3,1,1.7329002889142158,29.93471710196328,10.688196913395664,0.4282610307749378,5.403979939358701,94.21106842930357
closed_loop,0.005,0.3,2,2.468692066086565,28.730950142461335,8.51930727024904,0.592560311284049,5.089488135617831,91.4075515990747
closed_loop,0.005,0.7,0,0.8435063737368761,28.46706225621183,17.009930341996224,0.6428589743589757,4.894982380573489,97.03690403264983
closed_loop,0.005,0.7,1,0.6020365310498291,28.51525019830236,16.721783121747794,0.5569418713921349,5.140012034971239,97.88872085335701
closed_loop,0.005,0.7,2,0.6562202449340048,27.78435841531251,16.74718010613729,0.5803974411324366,5.064915572635353,97.63816664353008
closed_loop,0.005,0.9,0,0.984871966329064,28.240592436283208,19.512576633545038,0.5685670731707331,5.088240331820634,96.51256619863359
closed_loop,0.005,0.9,1,0.755682102226005,27.770326829169523,19.049847575800044,0.5415456674473085,5.162062096595122,97.27881451711167
closed_loop,0.005,0.9,2,0.600575726608869,27.330616661606832,19.166212472001234,0.5561654259718796,5.134291852444298,97.80255332675118
closed_loop,0.02,0.0,0,4.645232324650779,28.530324551212548,12.403890258792572,0.7990088888888895,4.374717515777102,83.71826329450796
closed_loop,0.02,0.0,1,0.3209872850263704,30.785752231700844,19.75195728356328,0.779062222222223,4.452827838491063,98.95735117137777
closed_loop,0.02,0.0,2,0.5699569448484522,28.58720428172291,13.63467582380744,0.8632266666666673,4.0334381491825555,98.00625154096355
closed_loop,0.02,0.3,0,6.853714303897572,26.728615267004244,13.041844761296172,0.4663437796771147,5.310757562641425,74.35813926223743
