seen_filter,seed,cluster,tr_closed,tr_static,tr_gap,loewner_psd,min_eig_diff,disp_closed,disp_static,disp_gap
True,12,1,28.315471498125568,28.705555086006083,-0.39008358788051467,0.0,-2.5863843265115207,64.87895850509943,66.72450883548073,-1.8455503303813003
True,12,2,30.839727193122567,27.022155795573653,3.817571397548914,0.0,-5.144202446812187,47.17413837237173,36.46309634786222,10.71104202450951
True,13,0,29.40539965217858,26.95193032357566,2.453469328602921,0.0,-8.496412499646405,53.624252252581314,45.26742173724969,8.356830515331623
True,13,1,24.477865721024102,28.74012685336379,-4.262261132339688,0.0,-0.3395202576202967,81.56736421914812,105.03361635397036,-23.46625213482224
True,13,2,27.590372210864132,30.094816868090096,-2.5044446572259638,0.0,-1.4277383741811616,33.39160350340216,40.958126833318126,-7.566523329915967
True,14,0,25.907684219131642,28.83477498119408,-2.927090762062438,0.0,-3.574156314372624,46.58603288150236,43.40187551954081,3.184157361961553
True,14,1,28.86643073383065,27.645015609566066,1.2214151242645848,0.0,-2.1943467863965918,37.752159435820786,34.72728803215997,3.0248714036608177
True,14,2,27.497567681827647,28.133833187131216,-0.6362655053035695,0.0,-3.2374196450705046,73.84383719098773,93.84805735736926,-20.00422016638153
False,0,0,3.644896520329582,3.752621418038066,-0.10772489770848415,0.0,-0.30709601788653584,1.1130669334860075,1.6001127239626136,-0.4870457904766061
False,0,1,3.290828960954686,3.091187836445095,0.19964112450959082,0.0,-0.23376176750256683,1.144579317241167,1.3960178291342134,-0.25143851189304645
False,0,2,3.166148461255162,3.014440951515487,0.15170750973967495,0.0,-0.24293487052507273,1.5951444946621445,1.6320332316823567,-0.036888737020212226
False,1,0,3.388195094068938,3.384890123920539,0.0033049701483989224,0.0,-0.1043089893351098,1.7261960670976002,1.6158399937996313,0.11035607329796893
False,1,1,3.442849843180471,3.761448100172805,-0.3185982569923338,0.0,-0.10111751767725997,1.3765027898217976,1.1774018502646948,0.19910093955710284
