seed,cluster,taste_tr_closed,taste_tr_static,taste_kl_closed,taste_kl_static,probe_tr_closed,probe_tr_static,C_tr_closed,C_tr_static,C_loewner_psd,C_min_eig_diff,xi_tr_closed,xi_tr_static,loewner_psd,min_eig_diff,xi_disp_closed,xi_disp_static
4,0,23.208121418643284,22.021010033062584,14.206114754925274,14.030697547697098,4.196581340127996,4.11046091249914,4.519598158421854,4.656521483910062,0.0,-0.07441979511793158,4.551407106572733,4.631026096348345,0.0,-0.14456825201747217,0.03386362578107782,0.05641729171640808
4,1,23.208121418643284,22.021010033062584,14.206114754925274,14.030697547697098,4.196581340127996,4.11046091249914,5.221126530812066,5.303437002607005,0.0,-0.09398977871719465,5.196825547314495,5.2420682024498575,0.0,-0.19102004895153848,0.05622575952141995,0.02325458749899889
4,2,23.208121418643284,22.021010033062584,14.206114754925274,14.030697547697098,4.196581340127996,4.11046091249914,4.7368190511875605,4.836599828516029,0.0,-0.09414004658623834,5.656121238383639,5.655997472556617,0.0,-0.19364526833454246,0.43757904705737305,0.48929276781090447
5,0,23.349692165765646,22.065907628386036,14.429190234086356,14.58121184463544,4.093958236804879,3.6313190139068134,4.831021513460103,4.989717686138292,0.0,-0.059042239821454304,4.828443121025741,5.006501047295103,0.0,-0.11348513891983568,0.07605183684878591,0.029597025745340844
5,1,23.349692165765646,22.065907628386036,14.429190234086356,14.58121184463544,4.093958236804879,3.6313190139068134,4.320834076229383,4.360870402878319,0.0,-0.05411908699754016,4.277210348400562,4.297870864715929,0.0,-0.08461147204932762,0.030212169165908964,0.021729509888982257
5,2,23.349692165765646,22.065907628386036,14.429190234086356,14.58121184463544,4.093958236804879,3.6313190139068134,4.396971300339654,4.51965042948407,0.0,-0.09359080220540433,6.742249717492103,6.6404073830415005,0.0,-0.29014938205183116,1.6807723114065505,1.546253307644108
6,0,22.467782909597666,21.243495969210585,14.416215910658249,14.38885126564033,4.00803982289939,3.9053377045662594,4.687033147979668,4.672674292389783,0.0,-0.10673138973830522,4.62727211712366,4.5860142938918305,0.0,-0.1521945677133073,0.03799027487166606,0.03434408497337227
6,1,22.467782909597666,21.243495969210585,14.416215910658249,14.38885126564033,4.00803982289939,3.9053377045662594,4.567408884083068,4.660362176367359,0.0,-0.08619758111614921,4.567643690815582,4.706264225321778,0.0,-0.12665343121406306,0.06290669958883255,0.03178667694882975
6,2,22.467782909597666,21.243495969210585,14.416215910658249,14.38885126564033,4.00803982289939,3.9053377045662594,4.502348021851546,4.571789386849106,0.0,-0.06931869407036334,5.163640055141696,5.397945985770965,0.0,-0.17797636207400494,0.3968637724358639,0.4152392026696412
7,0,23.290271475954,21.71652054175272,14.403162045254,14.353453689231065,3.746321960737268,3.600357734238193,4.427925058925809,4.546560800255415,0.0,-0.05126031733268936,4.372929930995905,4.646947280144402,0.0,-0.10702069097408833,0.05597412057158335,0.028804120319931403
7,1,23.290271475954,21.71652054175272,14.403162045254,14.353453689231065,3.746321960737268,3.600357734238193,4.418102226923859,4.460402502645161,0.0,-0.04859801111644342,4.3986587287844205,4.548973468612633,0.0,-0.07628227401990866,0.03304148720939315,0.019773410330840235
7,2,23.290271475954,21.71652054175272,14.403162045254,14.353453689231065,3.746321960737268,3.600357734238193,4.87260608755293,4.972722066913667,0.0,-0.07293541879458794,8.195395366784272,8.91124796606519,0.0,-0.23858395719760972,2.024580652563996,2.783513991033036
8,0,23.66011993861651,22.366941205640483,14.494680329150741,14.635046816925442,3.86912816845405,3.806947263190256,4.634211678167431,4.711342320109882,0.0,-0.13271211482067746,5.331389435375622,4.7196425085717895,0.0,-0.5133150996702962,0.3893554986253511,0.03330698364828333
8,1,23.66011993861651,22.366941205640483,14.494680329150741,14.635046816925442,3.86912816845405,3.806947263190256,4.158836864742193,4.376837051376957,0.0,-0.039471850701928726,4.222858276764437,4.416594182842482,0.0,-0.08900632786638843,0.05045015066823355,0.038447225815091635
8,2,23.66011993861651,22.366941205640483,14.494680329150741,14.635046816925442,3.86912816845405,3.806947263190256,4.646256615313407,4.636620633377411,0.0,-0.13221042728735766,4.653500246069477,6.062663680567249,0.0,-0.16832945860298165,0.03645242029951978,0.968893205749622
9,0,23.45830297487237,22.16510068124353,14.737233748801845,14.57769613906488,3.883749175800059,3.7629395370817256,4.466898611463652,4.537370618389421,0.0,-0.12215842688386777,4.393381924881362,4.494902986205086,0.0,-0.1145842733823084,0.04937066196469608,0.028730924381555223
9,1,23.45830297487237,22.16510068124353,14.737233748801845,14.57769613906488,3.883749175800059,3.7629395370817256,4.3159488109448665,4.385896130478739,0.0,-0.046473386073595996,4.223976442992135,4.4786383450087515,0.0,-0.07171628090633023,0.0589873948825006,0.04798481486351447
9,2,23.45830297487237,22.16510068124353,14.737233748801845,14.57769613906488,3.883749175800059,3.7629395370817256,4.349251476647957,4.449733379665137,0.0,-0.09132824049209666,6.776667446591523,5.144281845895808,0.0,-1.2876417396310982,1.3216205458614703,0.26256883807289677
