drift_alpha,mode,seed,kl_total,kl_mean_shift,kl_dispersion,kl_metric,trace_T,trace_0,true_quality_T,true_quality_0,observed_quality_T
0.02,closed_loop,12,16.208384387673107,0.033318887434824425,16.175065500238283,16.208384387673107,1.2862504338443834,30.606952541292184,0.37622402106879893,0.9999759003424143,0.602167804094741
0.02,closed_loop,13,16.569694399732832,0.01857322100965178,16.55112117872318,16.569694399732832,1.2448712357922949,30.45615678220223,0.2944034525987122,0.9999810998296899,0.6530526315789473
0.02,closed_loop,14,16.191245615348745,0.009588723390970093,16.181656891957775,16.191245615348745,1.3541226652572051,30.28849151179798,0.32184421098229643,0.9999659953490512,0.6297198538367844
0.02,closed_loop,15,16.380294009385555,0.017222247136054646,16.3630717622495,16.380294009385555,1.2846877045214375,30.696231735369228,0.3206077467022055,0.9999877771809845,0.6858221476510067
0.02,closed_loop,16,16.691853977441585,0.05717361258711719,16.634680364854468,16.691853977441582,1.12196215250911,30.059385736869913,0.34252340665177167,0.9999766964660904,0.6470844212358573
0.02,closed_loop,17,16.939484741069013,0.01999311359415591,16.919491627474855,16.939484741069013,1.116223515647088,29.66931989038159,0.31308856884470654,0.9999800152443457,0.6210752688172043
0.02,closed_loop,18,16.537586210428543,0.012095413111002264,16.52549079731754,16.537586210428543,1.2188291380626668,30.17292561281337,0.30014528421257114,0.999954803403812,0.6353852776582006
0.02,closed_loop,19,16.403357775172736,0.022978239883059883,16.380379535289677,16.403357775172736,1.3098233518647266,30.750450000425662,0.2786302445645511,0.9999815773387566,0.6576855123674912
0.02,closed_loop,20,16.185735131285938,0.03559143544700325,16.150143695838935,16.185735131285938,1.348836693888779,30.055060332147875,0.2628941042202916,0.9999633594002246,0.6022589753933038
0.02,closed_loop,21,16.47396597307727,0.013620762310181642,16.460345210767088,16.47396597307727,1.0867373098870454,29.86835024515001,0.3048884680004017,0.999979106303583,0.6152520465316674
0.02,closed_loop,22,16.24482673659702,0.009167167938672385,16.23565956865835,16.24482673659702,1.1983311442805045,30.257165892681662,0.2757798156955514,0.9998562891762077,0.6236831015592078
0.02,closed_loop,23,16.37059359682558,0.024488523369101633,16.346105073456478,16.37059359682558,1.3506751248534477,30.34832586065875,0.38638730976605906,0.9999860650817577,0.6374896779521056
0.02,closed_loop,24,16.059453145715356,0.043443605773186726,16.016009539942168,16.059453145715352,1.2726681462217295,30.453875803264964,0.2764132728352702,0.9999914560924715,0.6180173092053501
0.02,closed_loop,25,16.26625224202938,0.03725124259195081,16.22900099943743,16.266252242029385,1.3861834037257426,30.585228021137826,0.2856449233001105,0.9999713505244832,0.6303005351996707
0.02,closed_loop,26,16.754286249702083,0.010061222153473317,16.74422502754861,16.754286249702083,1.248102287130489,31.15482082878949,0.3313709103393014,0.99998159821465,0.6549807610089782
0.02,closed_loop,27,16.41462264156575,0.017035246571200365,16.39758739499455,16.41462264156575,0.9903491300969955,30.70556425358441,0.3022638524479519,0.9999869929776044,0.6648738105088954
0.02,closed_loop,28,16.14342325049814,0.012762432514614244,16.13066081798353,16.143423250498145,1.4020618161322589,30.236352459171844,0.26546177439503477,0.999969552139186,0.6079240610813041
0.02,closed_loop,29,16.80859649204712,0.02623996461180849,16.78235652743531,16.80859649204712,1.1313202258633164,30.381155901885787,0.2761325654882647,0.9999852478998942,0.5997431506849316
0.02,static,0,15.646855716468297,0.03627266931168311,15.610583047156613,15.646855716468297,1.2779805936803743,30.066227129282733,0.2584210980523925,0.9999877402348805,0.6288121990369181
0.02,static,1,16.037108140259466,0.012292306727019092,16.024815833532447,16.037108140259466,1.355428706685199,31.09715816550924,0.292461733213806,0.9999712481507275,0.6288702928870293
0.02,static,2,15.865153226231316,0.0037157050558606192,15.861437521175455,15.865153226231316,1.3557198936029156,29.766116264350703,0.32209664180550984,0.9999686707545844,0.6730234406038935
0.02,static,3,15.410407297863394,0.04042930995725533,15.369977987906138,15.410407297863394,1.2961866870583847,30.600078730298424,0.34675135425772385,0.9999842683677586,0.6189024390243902
0.02,static,4,15.107780584368546,0.010006796167568614,15.097773788200978,15.107780584368548,1.5293595017415653,30.258738134175317,0.2848050428068302,0.9999940117622034,0.5931995083981975
0.02,static,5,15.414685213512577,0.01475474412110117,15.399930469391476,15.414685213512577,1.4222120209292783,30.922954195101415,0.2506911087118399,0.9999857056410747,0.6199770378874856
0.02,static,6,16.036739406225912,0.059062086292198335,15.977677319933715,16.036739406225912,1.2118115702825967,30.22017204735039,0.34661681513207365,0.9999803359265271,0.655965120887832
0.02,static,7,15.904045435277286,0.03445431769468842,15.869591117582598,15.904045435277286,1.3889238035782288,30.450752350605583,0.3253612003621924,0.9999717093931028,0.6594551282051282
0.02,static,8,15.068289586030168,0.03390798083654924,15.03438160519362,15.068289586030168,1.5291575611430368,29.7518255332668,0.3043265729791856,0.9999678215901568,0.6061550447993767
0.02,static,9,15.819113360449991,0.025020986872595633,15.794092373577396,15.819113360449991,1.4912281900660254,30.80185165497087,0.21832671825047847,0.9999642232984826,0.5819319515056707
0.02,static,10,15.310944309569086,0.027917938352222935,15.283026371216863,15.310944309569088,1.404774465818393,31.147146817562092,0.293331644525951,0.9999903405677696,0.5957364341085272
0.02,static,11,15.575680630287017,0.021275893533461487,15.554404736753556,15.575680630287017,1.5345348253160138,30.440289069912225,0.3468345355426329,0.9999868936011643,0.6498985801217039
0.02,static,12,16.1376975488925,0.03288684874410147,16.1048107001484,16.1376975488925,1.2177483046888202,30.606952541292184,0.3020191772108513,0.9999759003424143,0.6032500990883869
0.02,static,13,15.830736481955423,0.02117108291497817,15.809565399040444,15.830736481955423,1.2551198577778744,30.45615678220223,0.35368692689066783,0.9999810998296899,0.6417970316887285
0.02,static,14,15.697639271780197,0.009419596904557053,15.68821967487564,15.697639271780197,1.4203924809054715,30.28849151179798,0.280456366644104,0.9999659953490512,0.6018626309662398
0.02,static,15,15.49864230019513,0.019242464006569655,15.47939983618856,15.498642300195128,1.308537937332285,30.696231735369228,0.2680898081999457,0.9999877771809845,0.6259603720177922
0.02,static,16,15.631582146546975,0.057120818354661554,15.574461328192314,15.631582146546975,1.4395542989041472,30.059385736869913,0.39258150648247453,0.9999766964660904,0.6161251504211793
0.02,static,17,15.317037977073284,0.019061561539273592,15.29797641553401,15.317037977073284,1.3560236073494851,29.66931989038159,0.2971935827267267,0.9999800152443457,0.6196696119861698
0.02,static,18,15.490719274478183,0.012752523063389505,15.477966751414794,15.490719274478183,1.4539877646607606,30.17292561281337,0.3226342884310236,0.999954803403812,0.665173116089613
0.02,static,19,15.808163535390579,0.019906891592404184,15.788256643798174,15.808163535390579,1.476242889299611,30.750450000425662,0.2597537678500262,0.9999815773387566,0.6236691236691236
0.02,static,20,15.962440556401496,0.029096110962002132,15.933344445439495,15.962440556401496,1.3360814598013384,30.055060332147875,0.3196284102925572,0.9999633594002246,0.621832358674464
0.02,static,21,15.90396216309195,0.010857471738780702,15.89310469135317,15.90396216309195,1.3279766826884278,29.86835024515001,0.3521465501237005,0.999979106303583,0.6739879414298019
0.02,static,22,15.631305823234571,0.009965895157789919,15.62133992807678,15.63130582323457,1.5680951202538387,30.257165892681662,0.3190464592453882,0.9998562891762077,0.6321162151550844
0.02,static,23,15.415729538254139,0.027328704341305445,15.388400833912833,15.415729538254139,1.3621914213822042,30.34832586065875,0.3261012735487846,0.9999860650817577,0.6189562547966232
0.02,static,24,15.771810422453475,0.04405411250980472,15.72775630994367,15.771810422453475,1.3481316971399526,30.453875803264964,0.26306856582271476,0.9999914560924715,0.6326530612244898
0.02,static,25,15.846061268999028,0.03488280707004812,15.81117846192898,15.84606126899903,1.38579417743377,30.585228021137826,0.28352795642128015,0.9999713505244832,0.6334355828220859
0.02,static,26,15.626692680649453,0.010309760367442609,15.61638292028201,15.626692680649452,1.5627473546899544,31.15482082878949,0.3087475206326042,0.99998159821465,0.6473581213307241
0.02,static,27,15.076407135316305,0.017053875779802354,15.059353259536502,15.076407135316305,1.6016121476541738,30.70556425358441,0.2830347555640402,0.9999869929776044,0.5341566962562717
0.02,static,28,15.76915934983535,0.010465437244046812,15.758693912591303,15.76915934983535,1.402965639629736,30.236352459171844,0.2240388184867801,0.999969552139186,0.6144085141219812
0.02,static,29,15.672031725363402,0.018555566293132392,15.65347615907027,15.672031725363404,1.374659243195314,30.381155901885787,0.2726187828136075,0.9999852478998942,0.6110886280857952
0.0,closed_loop,0,16.287951720747852,0.03971547408611528,16.248236246661737,16.287951720747852,1.3426663461605681,30.066227129282733,0.2923653151090897,0.9999877402348805,0.675206611570248
0.0,closed_loop,1,16.23782499412959,0.014914891866363088,16.222910102263224,16.23782499412959,1.2878699538062188,31.09715816550924,0.3082140132341682,0.9999712481507275,0.635589785164167
0.0,closed_loop,2,16.198946856735848,0.003656840867181675,16.195290015868665,16.198946856735848,1.3076771143631556,29.766116264350703,0.37184654375236187,0.9999686707545844,0.625
0.0,closed_loop,3,16.619877922379565,0.04696288420074106,16.572915038178824,16.619877922379565,1.1005657853287183,30.600078730298424,0.3833051723501571,0.9999842683677586,0.6593625498007968
0.0,closed_loop,4,16.53433563628387,0.012569785980514605,16.521765850303357,16.534335636283874,1.277356153257064,30.258738134175317,0.305814523693007,0.9999940117622034,0.6368264743317776
0.0,closed_loop,5,17.142737542447033,0.012183141563896242,17.13055440088314,17.142737542447033,1.0987366947832349,30.922954195101415,0.24456351125448542,0.9999857056410747,0.6059544658493871
0.0,closed_loop,6,16.352826976651865,0.06497009891905726,16.287856877732807,16.352826976651865,1.1832137494839479,30.22017204735039,0.3500716394838582,0.9999803359265271,0.6393044884755358
0.0,closed_loop,7,16.563748184221254,0.03608625041884599,16.527661933802406,16.563748184221254,1.218437615587557,30.450752350605583,0.3183562407408932,0.9999717093931028,0.6836777730915226
0.0,closed_loop,8,16.09877162605011,0.04336546347664565,16.055406162573462,16.09877162605011,1.2536161249330535,29.7518255332668,0.26565016936977875,0.9999678215901568,0.6126088759850684
0.0,closed_loop,9,16.379466105529925,0.029498987341959767,16.349967118187966,16.379466105529925,1.2063357233485739,30.80185165497087,0.2920930795475684,0.9999642232984826,0.6241280262617973
0.0,closed_loop,10,16.32090349527643,0.023639574411968654,16.29726392086446,16.32090349527643,1.1378158306724673,31.147146817562092,0.35803691175612945,0.9999903405677696,0.6587881392350666
