mode,seed,t,KL_obs_true,TV,R_obs,R_true,gap,abs_gap,pinsker_bound,bound_holds
closed_loop,5,27,0.08707203116884704,0.047762573019170584,0.9401675215666144,0.9879261883486208,-0.047758666782006354,0.047758666782006354,0.417305718074524,1
closed_loop,5,28,0.09999732176120853,0.058702805836103926,0.9245326141662876,0.9832299212764042,-0.05869730711011656,0.05869730711011656,0.44720760673586163,1
closed_loop,5,29,0.1129218427715007,0.06939451037857665,0.9092292403717233,0.9786146395188787,-0.06938539914715547,0.06938539914715547,0.47523013955661675,1
closed_loop,5,30,0.16307875420595985,0.09634269713929663,0.8761645833772543,0.972504784275045,-0.09634020089779072,0.09634020089779072,0.5711020122639384,1
closed_loop,5,31,0.1737927162827571,0.10843027056570487,0.8561080999282594,0.9645357469955471,-0.10842764706728769,0.10842764706728769,0.5895637646306922,1
closed_loop,5,32,0.18332785681604857,0.12027138929200792,0.8361946149766148,0.9564589393530881,-0.12026432437647328,0.12026432437647328,0.6055210265813212,1
closed_loop,5,33,0.18448994836850902,0.1289885998126058,0.8168369950874139,0.94581518298618,-0.12897818789876603,0.12897818789876603,0.6074371545575872,1
closed_loop,5,34,0.19035192220913327,0.14174886707534665,0.7899616397440087,0.9317031414625616,-0.14174150171855293,0.14174150171855293,0.6170120293951055,1
closed_loop,5,35,0.19478804533192062,0.15454533641251098,0.7604797049209456,0.9150148256985596,-0.154535120777614,0.154535120777614,0.6241603084655746,1
closed_loop,5,36,0.1918530748435463,0.16251837494040364,0.7347853696662556,0.8972945529151616,-0.16250918324890595,0.16250918324890595,0.6194401905649105,1
closed_loop,5,37,0.18926846722592833,0.17096251902989834,0.7067358824792156,0.8776886315263748,-0.17095274904715918,0.17095274904715918,0.6152535529778407,1
closed_loop,5,38,0.18645536673789637,0.18230714656525043,0.6673382722081899,0.8496377063120394,-0.18229943410384952,0.18229943410384952,0.6106641740562424,1
closed_loop,5,39,0.18210335984645962,0.19004167703741384,0.6317692658021877,0.8218034058259039,-0.1900341400237162,0.1900341400237162,0.6034954181208995,1
closed_loop,5,40,0.15122761020967793,0.17689303152590244,0.6099877483975591,0.78674449221958,-0.1767567438220209,0.1767567438220209,0.5499592897836674,1
closed_loop,5,41,0.14549263618729247,0.18259551515429376,0.5755296464238608,0.7579806517201543,-0.18245100529629343,0.18245100529629343,0.5394305074563219,1
closed_loop,5,42,0.1379495324225116,0.18621335478174936,0.5441494769048082,0.7302257584869194,-0.1860762815821112,0.1860762815821112,0.525260949286184,1
closed_loop,5,43,0.1325364212186879,0.1908604201358349,0.5113745214769132,0.7021015370258461,-0.1907270155489329,0.1907270155489329,0.5148522530176748,1
closed_loop,5,44,0.12698300365315388,0.19271044000151097,0.4936121442335207,0.6861981344185656,-0.1925859901850449,0.1925859901850449,0.5039504016332438,1
closed_loop,5,45,0.12329717455304437,0.19525861478608908,0.4780382802248126,0.6731747524595539,-0.19513647223474134,0.19513647223474134,0.4965826709683784,1
closed_loop,5,46,0.1206049009790578,0.1972654348580952,0.46608535761967423,0.6632333454224741,-0.1971479878027999,0.1971479878027999,0.49113114537576985,1
closed_loop,5,47,0.11901309977400307,0.19830597796250624,0.45940689567872295,0.6575964838320532,-0.1981895881533302,0.1981895881533302,0.4878792878858521,1
closed_loop,5,48,0.11757472549344351,0.1984729014000408,0.45742041460820415,0.6557797884402177,-0.19835937383201352,0.19835937383201352,0.4849221081646897,1
closed_loop,5,49,0.1175861450308157,0.19836165860849267,0.4586305645716209,0.6568812418243758,-0.19825067725275491,0.19825067725275491,0.48494565681283447,1
closed_loop,5,50,0.07971993977478621,0.15619411617432927,0.5068809085631028,0.6621520450704789,-0.15527113650737612,0.15527113650737612,0.3992992355985326,1
closed_loop,5,51,0.07972146608030206,0.154586493861171,0.5149707770647199,0.6686915905177234,-0.15372081345300348,0.15372081345300348,0.39930305804063676,1
closed_loop,5,52,0.07853074534957938,0.15176413720048346,0.5227348915746113,0.6736894414119742,-0.1509545498373629,0.1509545498373629,0.3963098417894246,1
closed_loop,5,53,0.07949973486304446,0.14925423725971362,0.5387506132255637,0.6872167548820939,-0.14846614165653016,0.14846614165653016,0.39874737582345154,1
closed_loop,5,54,0.07992289157782796,0.1455037521451379,0.5599913894225838,0.7048309331561152,-0.14483954373353147,0.14483954373353147,0.3998071824713207,1
closed_loop,5,55,0.08119640318678237,0.14303430613607182,0.576803257731009,0.7191834715238268,-0.14238021379281773,0.14238021379281773,0.4029799081512188,1
closed_loop,5,56,0.08099296274652715,0.13915914119004172,0.5943080967571758,0.7328191790681766,-0.13851108231100084,0.13851108231100084,0.4024747513733679,1
closed_loop,5,57,0.0802135205812601,0.13328693681879414,0.6174198469768682,0.750102031974583,-0.13268218499771478,0.13268218499771478,0.4005334457476931,1
closed_loop,5,58,0.08025961809975027,0.12832492618669708,0.6400866814351269,0.7678237772333772,-0.12773709579825032,0.12773709579825032,0.4006485195274039,1
closed_loop,5,59,0.0804515812404598,0.12269194654923671,0.6666655555077207,0.7887937795138122,-0.12212822400609158,0.12212822400609158,0.4011273644129999,1
closed_loop,5,60,0.0687477400453768,0.10525145955690839,0.7057991511159433,0.8101831381527181,-0.10438398703677487,0.10438398703677487,0.3708038296603119,1
closed_loop,5,61,0.06749836598357878,0.09739959129293316,0.7370977723984696,0.8336954640255541,-0.09659769162708443,0.09659769162708443,0.36741901416115846,1
closed_loop,5,62,0.06629755396921264,0.0903961526295257,0.7648102801669769,0.8545088192077183,-0.08969853904074132,0.08969853904074132,0.3641361118296636,1
closed_loop,5,63,0.06616345244151295,0.0841226994980313,0.7937488455439279,0.8773053578950614,-0.08355651235113348,0.08355651235113348,0.36376765233185027,1
closed_loop,5,64,0.06504320016493094,0.07727522976089707,0.8219950290828039,0.8988261691287086,-0.07683114004590474,0.07683114004590474,0.3606749233449172,1
closed_loop,5,65,0.06474178840724036,0.07207112415244661,0.843767639740581,0.9154636107248457,-0.07169597098426472,0.07169597098426472,0.35983826480028597,1
closed_loop,5,66,0.06469626946571584,0.06686461303993245,0.8662010751431575,0.9327804808606014,-0.06657940571744392,0.06657940571744392,0.3597117442222754,1
